,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,season,off_score,def_score
37,1610612744,Golden State Warriors,82,19,63,0.232,3966.0,0.427,0.278,0.178,0.356,0.469,0.339,0.15,0.336,1,25,25,25,10,29,28,23,4,10,19,28,14,1997-98,0.3282,0.34315
38,1610612745,Houston Rockets,82,41,41,0.5,3966.0,0.496,0.326,0.17,0.324,0.499,0.279,0.153,0.328,1,17,17,17,10,6,19,17,24,25,4,24,9,1997-98,0.3546,0.3453
39,1610612754,Indiana Pacers,82,58,24,0.707,3966.0,0.502,0.343,0.158,0.305,0.453,0.325,0.167,0.343,1,5,5,5,10,4,10,6,29,3,12,13,17,1997-98,0.35275,0.34030000000000005
40,1610612746,Los Angeles Clippers,82,17,65,0.207,3956.0,0.477,0.306,0.171,0.33,0.498,0.332,0.15,0.362,1,27,27,27,23,14,22,19,20,23,15,27,26,1997-98,0.34545,0.35890000000000005
41,1610612747,Los Angeles Lakers,82,61,21,0.744,3966.0,0.519,0.42,0.16,0.339,0.467,0.335,0.163,0.344,1,3,3,3,18,2,2,8,13,8,18,18,19,1997-98,0.3784,0.3466
42,1610612748,Miami Heat,82,55,27,0.671,3951.0,0.494,0.329,0.166,0.339,0.452,0.345,0.165,0.331,1,8,8,8,24,8,16,14,12,2,21,16,11,1997-98,0.35625,0.34
43,1610612749,Milwaukee Bucks,82,36,46,0.439,3986.0,0.475,0.339,0.181,0.34,0.485,0.379,0.177,0.336,1,20,20,20,5,18,12,26,11,20,28,6,15,1997-98,0.3541,0.3623
44,1610612750,Minnesota Timberwolves,82,45,37,0.549,3986.0,0.483,0.329,0.146,0.333,0.48,0.324,0.157,0.343,1,13,13,13,4,10,15,1,17,16,11,21,18,1997-98,0.34565,0.34845
45,1610612751,New Jersey Nets,82,43,39,0.524,3976.0,0.463,0.339,0.153,0.383,0.499,0.345,0.192,0.35,1,14,14,14,7,23,11,3,1,24,20,2,21,1997-98,0.35090000000000005,0.36935
46,1610612752,New York Knicks,82,43,39,0.524,3966.0,0.476,0.283,0.169,0.319,0.455,0.376,0.167,0.297,1,14,14,14,10,15,27,15,27,4,26,14,1,1997-98,0.33890000000000003,0.33955
47,1610612753,Orlando Magic,82,41,41,0.5,3966.0,0.452,0.331,0.172,0.37,0.478,0.274,0.172,0.354,1,17,17,17,10,27,14,20,3,14,2,10,22,1997-98,0.34745000000000004,0.3461000000000001
48,1610612755,Philadelphia 76ers,82,31,51,0.378,3951.0,0.462,0.367,0.179,0.341,0.481,0.351,0.174,0.34,1,22,22,22,26,25,3,25,9,17,24,8,16,1997-98,0.35280000000000006,0.35655
49,1610612756,Phoenix Suns,82,56,26,0.683,3991.0,0.5,0.29,0.161,0.321,0.471,0.31,0.177,0.336,1,6,6,6,1,5,25,10,25,12,9,5,13,1997-98,0.34795,0.34635000000000005
50,1610612757,Portland Trail Blazers,82,46,36,0.561,3966.0,0.476,0.348,0.183,0.355,0.46,0.346,0.153,0.315,1,12,12,12,10,16,8,28,6,6,22,23,4,1997-98,0.35935000000000006,0.33715
51,1610612758,Sacramento Kings,82,27,55,0.329,3946.0,0.464,0.314,0.165,0.328,0.482,0.31,0.163,0.357,1,23,23,23,27,22,21,12,21,19,10,20,23,1997-98,0.33955,0.35145
52,1610612759,San Antonio Spurs,82,56,26,0.683,3966.0,0.493,0.35,0.178,0.326,0.437,0.294,0.141,0.304,1,6,6,6,19,9,7,24,23,1,5,29,2,1997-98,0.35940000000000005,0.31495
53,1610612760,Seattle SuperSonics,82,61,21,0.744,3951.0,0.521,0.327,0.153,0.321,0.478,0.308,0.186,0.365,1,3,3,3,24,1,18,4,26,15,8,4,27,1997-98,0.35990000000000005,0.35690000000000005
54,1610612761,Toronto Raptors,82,16,66,0.195,3986.0,0.462,0.302,0.175,0.339,0.508,0.335,0.175,0.398,1,28,28,28,3,24,23,22,14,29,17,7,29,1997-98,0.34165000000000006,0.3768
55,1610612762,Utah Jazz,82,62,20,0.756,3956.0,0.51,0.433,0.169,0.352,0.471,0.357,0.155,0.316,1,1,1,1,22,3,1,16,8,11,25,22,5,1997-98,0.38160000000000005,0.3439
56,1610612763,Vancouver Grizzlies,82,19,63,0.232,3966.0,0.482,0.327,0.182,0.34,0.507,0.328,0.15,0.348,1,25,25,25,10,11,17,27,10,28,14,26,20,1997-98,0.35535,0.35910000000000003
57,1610612764,Washington Wizards,82,42,40,0.512,3961.0,0.476,0.317,0.151,0.339,0.481,0.332,0.173,0.327,1,16,16,16,20,17,20,2,15,18,16,9,8,1997-98,0.3435,0.35085000000000005
58,1610612737,Atlanta Hawks,50,31,19,0.62,2415.0,0.436,0.378,0.17,0.353,0.437,0.278,0.154,0.299,1,7,7,7,17,26,5,14,5,3,4,24,1,1998-99,0.34419999999999995,0.3148
